,table_id,ip_bytes,ip_packet,ip_duration,in_port,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec,type
92647,0.0,126.0,2.0,3.0,1.0,1630.0,19.0,15.0,17.0,826203.0,825131.0,877446.0,30047.0,293279241.0,2379462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34620.0,5
92648,0.0,233.0,2.0,0.0,1.0,2940.0,18.0,14.0,16.0,214938.0,213866.0,213725.0,7924.0,38904097.0,629003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8950.0,5
92649,0.0,299.0,3.0,0.0,1.0,7019.0,30.0,10.0,12.0,484314.0,483242.0,474821.0,19879.0,81404793.0,1572127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22571.0,5
92650,0.0,126.0,2.0,3.0,1.0,11143.0,35.0,30.0,32.0,1442751.0,1441679.0,1478331.0,53763.0,390730495.0,4249693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61680.0,5
92651,0.0,670.0,4.0,1.0,1.0,2144.0,18.0,6.0,8.0,887820.0,886748.0,938158.0,32195.0,303689739.0,2549453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37113.0,5
92652,0.0,159.0,2.0,2.0,1.0,2101.0,24.0,25.0,26.0,159382.0,158310.0,160344.0,5378.0,31092792.0,429175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6113.0,5
92653,0.0,66.0,1.0,0.0,1.0,4945.0,27.0,13.0,15.0,1151172.0,1150100.0,1195992.0,42062.0,348388097.0,3328223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48438.0,5
92654,0.0,126.0,2.0,3.0,1.0,3660.0,32.0,26.0,28.0,1610351.0,1609279.0,1642801.0,60677.0,419817025.0,4795484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69540.0,5
92655,0.0,682.0,4.0,1.0,1.0,2335.0,19.0,10.0,12.0,480540.0,479468.0,471248.0,19670.0,80908465.0,1555665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22331.0,5
92656,0.0,66.0,1.0,1.0,1.0,925.0,7.0,11.0,13.0,1254871.0,1253799.0,1296526.0,46108.0,363310108.0,3648239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53118.0,5
92657,0.0,126.0,2.0,1.0,1.0,4215.0,31.0,24.0,26.0,1017149.0,1016077.0,1065946.0,36919.0,328665947.0,2922619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42579.0,5
92658,0.0,66.0,1.0,0.0,1.0,2061.0,15.0,12.0,14.0,432247.0,431175.0,423400.0,17639.0,71543179.0,1394976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19977.0,5
92659,0.0,126.0,2.0,1.0,1.0,1397.0,21.0,8.0,10.0,756384.0,755312.0,809479.0,27427.0,282628775.0,2172513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31599.0,5
92660,0.0,662.0,4.0,1.0,1.0,2452.0,23.0,11.0,13.0,140922.0,139850.0,142356.0,4700.0,28250278.0,375957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5351.0,5
